City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,penzance,50.1186,-5.5371,11.38,73,4,3.53,GB,1718055346
138,greenville,35.6127,-77.3663,29.01,37,40,1.79,US,1718055142
139,keminmaa,65.8596,24.8228,9.87,81,0,2.06,FI,1718055404
140,carnarvon,-24.8667,113.6333,19.83,67,82,4.42,AU,1718055404
141,tallahassee,30.4383,-84.2807,34.6,61,20,5.14,US,1718055138
142,as sulayyil,20.4607,45.5779,32.14,14,0,4.4,SA,1718055404
143,malango,-2.9627,119.9001,18.4,99,85,1.02,ID,1718055404
144,la passe,45.5549,-0.8967,15.55,83,99,3.71,FR,1718055405
145,shkoder,42.0683,19.5126,24.1,52,0,1.62,AL,1718055405
146,flin flon,54.7682,-101.865,18.91,42,75,3.09,CA,1718055171
147,ploudalmezeau,48.5333,-4.65,14.04,82,20,2.57,FR,1718055405
148,college,64.8569,-147.8028,21.18,50,75,1.54,US,1718055405
149,alegre,-20.7636,-41.5331,19.18,76,30,1.35,BR,1718055406
150,tourlaville,49.6383,-1.5664,10.68,81,0,3.6,FR,1718055406
151,kerikeri,-35.2268,173.9474,14.95,95,72,2.24,NZ,1718055406
152,lichinga,-13.3128,35.2406,12.05,82,0,5.14,MZ,1718055406
153,nyurba,63.2842,118.3319,17.35,62,77,1.1,RU,1718055407
154,kailua-kona,19.6406,-155.9956,28.98,81,40,6.17,US,1718055407
155,lamarque,-39.423,-65.7021,14.8,40,99,5.09,AR,1718055407
156,barakani,-12.1356,44.4317,25.14,69,10,5.47,KM,1718055407
157,richards bay,-28.783,32.0377,15.21,81,0,3.17,ZA,1718055407
158,caleta de carquin,-11.0925,-77.6267,19.4,77,50,5.09,PE,1718055408
159,chingirlau,51.095,54.0814,18.9,62,4,0.71,KZ,1718055408
160,san felice circeo,41.2372,13.0942,22.09,82,1,1.88,IT,1718055408
161,alenquer,-1.9417,-54.7383,25.02,94,53,2.08,BR,1718055408
162,fada,9.5667,8.3,21.69,91,98,1.42,NG,1718055408
163,beira,-19.8436,34.8389,22.05,83,0,5.66,MZ,1718055375
164,fort mcmurray,56.7268,-111.381,12.77,82,100,2.57,CA,1718055409
165,enewetak,11.3474,162.3373,28.13,82,82,7.56,MH,1718055409
166,taltal,-25.4,-70.4833,16.02,79,26,1.22,CL,1718055409
167,sitka,57.0531,-135.33,11.94,71,100,5.14,US,1718055189
168,bilibino,68.0546,166.4372,11.72,54,100,0.95,RU,1718055410
169,syas'stroy,60.1367,32.5691,11.89,86,100,1.56,RU,1718055410
170,kapa'a,22.0752,-159.319,29.99,75,20,7.2,US,1718055410
